Year,Province,Value
1974,Newfoundland and Labrador,386.6
1974,Nova Scotia,415.7
1974,Ontario,1891.6
1974,Prince Edward Island,87.1
1974,Quebec,1987.6
1974,Saskatchewan,319.6
1975,Alberta,512.9
1975,British Columbia,618.7
1975,Manitoba,456.7
1975,New Brunswick,425.9
1975,Newfoundland and Labrador,386.6
1975,Nova Scotia,509.3
1975,Ontario,2073
1975,Prince Edward Island,112
1975,Quebec,1960.4
1975,Saskatchewan,327.3
1976,Alberta,638.8
1976,British Columbia,808.3
1976,Manitoba,531.9
1976,New Brunswick,489.4
1976,Newfoundland and Labrador,448.8
1976,Nova Scotia,587.9
1976,Ontario,2558.5
1976,Prince Edward Island,135.4
1976,Quebec,2453.7
1976,Saskatchewan,279.5
1977,Alberta,592.6
1977,British Columbia,738.7
1977,Manitoba,667
1977,New Brunswick,520.6
1977,Newfoundland and Labrador,493.7
1977,Nova Scotia,638.3
1977,Ontario,2232.1
1977,Prince Edward Island,126.4
1977,Quebec,3003.8
1977,Saskatchewan,316.3
1978,Alberta,668.1
1978,British Columbia,805.4
1978,Manitoba,607.7
1978,New Brunswick,627.2
1978,Newfoundland and Labrador,606.6
1978,Nova Scotia,688.6
1978,Ontario,2468.6
1978,Prince Edward Island,142
1978,Quebec,3424
1978,Saskatchewan,446
1979,Alberta,671.4
1979,British Columbia,954.3
1979,Manitoba,765.7
1979,New Brunswick,723.5
1979,Newfoundland and Labrador,650.2
1979,Nova Scotia,776.3
1979,Ontario,2779.3
1979,Prince Edward Island,161.3
1979,Quebec,3595.4
1979,Saskatchewan,422.9
1980,Alberta,735.9
1980,British Columbia,1039.1
1980,Manitoba,851.6
1980,New Brunswick,700.7
1980,Newfoundland and Labrador,685.6
1980,Nova Scotia,853
1980,Ontario,2953.4
1980,Prince Edward Island,175.3
1980,Quebec,3797.5
1980,Saskatchewan,519.9
1981,Alberta,875
1981,British Columbia,1127
1981,Manitoba,871
1981,New Brunswick,822
